interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
50-00-85-05	f8cce1dbd3f9475b98af629f6cc99aab	130	Int512	1	1	1	2	2	00.02:16:29	0
25-55-15-20	fc7d30888cc746acb2d062cd3a273b23	130	Int222	1	4	1	2	11	00.05:01:11	0
77-17-79-82	fe85587ab69248df91b3fb4b61ae8f20	130	Int511	1	1	1	2	2	00.04:01:51	0
08-53-42-97	fea787895d984194a381f06aeb71496c	130	Int631	1	1	1	2	1	00.06:11:06	0
72-39-10-07	fed2a12588154a47932a65efd97cf357	130	Int221	1	3	1	2	2	00.03:01:32	0
99-50-16-04	ff039590d33440c68d054a0228f81f98	125	Int421	1	0	1	2	7	00.04:54:02	0
57-19-05-78	ff5adcc833b74ad59112abbe8bfe313f	130	Int812	1	2	1	2	11	00.05:50:04	0
73-69-82-54	016953b0bee0443a92fe37cb7a427595	100	Int821	1	2	1	2	6	00.03:37:32	0
54-62-65-78	018c6270d0f644a0a84174bdd99c80f8	125	Int211	1	0	1	2	28	00.03:05:03	0
90-58-94-20	02d52cbc793a4ea490fa7512fbd98422	125	Int521	1	2	1	3	8	00.03:15:24	0
97-04-50-97	037c6e6348eb4f6e8a809b5b86067392	120	Int311	1	3	0	3	8	00.03:38:54	0
61-81-47-23	0538d84d4222402dbc1834bd38955863	130	Int811	1	2	1	2	2	00.03:43:19	0
34-35-40-57	05d4715d7f2249c1b38eb3883379f5e5	100	Int621	1	0	0	2	0	00.02:49:02	1
60-17-98-71	09d1f760a3834c5aa603465c751a6509	130	Int322	1	0	0	2	2	00.07:21:16	0
71-34-08-01	0a531229dbaf49fba02372ee1ffff056	130	Int631	1	1	1	1	13	00.02:48:37	0
43-67-01-34	0b7ad00c9b354a80a16d5d4c201f3354	130	Int421	1	2	2	2	16	00.13:15:50	0
73-44-55-20	0cb7b9fb1dec4cedbec173776e57a67d	130	Int512	1	0	0	2	15	00.01:36:58	0
51-11-49-88	11e1596c868d46b6bcad5d271419b70a	130	Int631	1	1	1	1	14	00.03:02:03	0
47-01-33-81	1307540bd8fd4239935623976c0f2457	100	Int611	1	1	0	2	7	00.03:05:02	0
59-33-54-20	141b76fe6a1e49f2b0b3c2af67c8c8f6	100	Int111	1	3	0	2	7	00.07:56:08	2
89-91-66-15	150271281c5040b696d396061cdcb1ef	130	Int631	1	2	1	2	5	00.07:21:04	0
54-10-32-14	1929be7fc74f4013b709a673b3a13a23	65	ms_sup630	1	1	0	0	0	00.00:24:13	0
83-06-75-70	19847056a213416ab03cc643442a8c4d	120	Int211	1	0	0	1	0	00.00:15:32	0
94-26-46-53	19a385b3f607412881da422dc4502c92	100	Int112	1	4	2	2	13	00.04:16:43	1
85-92-46-20	19f3a3f4807d4ae9ad88e1f0c1256fb3	120	Int113	1	1	0	2	45	00.09:28:01	0
90-25-03-92	1be83355cd6f4b47bb04b5529dbbc103	130	Int322	1	1	1	2	7	00.06:16:26	0
70-30-30-86	1c5a6878a3004984a095d6cea34499ce	130	Int222	1	2	3	2	11	00.03:46:57	0
15-78-36-32	1d0b613ecfa446298ddcc76f6ceb8462	130	Int222	1	3	2	2	11	00.04:40:26	0
25-09-05-89	1e0ec0a1a0f9408a9dd65c66b52ce8ed	130	Int711	1	4	2	2	8	00.02:39:57	0
34-01-78-99	1e55c6f34ee34f7bb7542e071a2aca0c	130	Int722	1	4	3	2	11	00.05:20:40	0
23-31-03-80	1ee18bddad874952ad5d26fb93530b60	130	Int821	1	2	2	2	2	00.05:59:43	0
70-90-72-89	1f2964610e48404782634541d1d09096	100	Int111	1	2	0	2	7	00.03:54:10	1
23-18-42-15	1f59764e653e4c24927d784dfdd38e01	125	Int211	1	1	2	3	31	00.05:20:07	0
62-34-78-83	2398093ebea645ac8fce8f7ab966813e	130	Int412	1	2	0	2	8	00.05:11:26	0
91-24-90-68	25a70ded395a409a94c028cce6416dec	130	Int422	1	1	1	2	2	00.04:33:12	0
42-87-90-21	27bc6e3b8956475fbf187fe4dc0f3ae5	125	Int212	1	1	1	2	23	00.05:52:57	0
72-96-15-89	29a89d1f1e484700bdf4455e3697f25e	120	Int811	1	1	1	3	9	00.02:57:06	0
81-43-82-63	29d5ffb272614f6da9dc161c22b1ff39	130	Int812	1	2	1	2	9	00.05:02:04	0
15-98-23-49	2c1621c9a3754be49eca2d23259cb2f7	130	Int822	1	2	1	2	11	00.05:01:27	0
65-28-55-20	2cc5c63a995945d2b2bdbf1bb4ef55fd	130	Int422	1	1	1	2	9	00.03:45:02	0
16-08-61-30	30d8cccf35b34e06a1b4c7d30cea04f3	130	Int221	1	7	3	2	6	00.03:22:28	0
24-57-00-25	3121520a7d354fca98a18aff16b55494	130	ms_sup630	1	0	0	0	0	00.00:56:44	0
92-90-63-35	332b631055fa4be19b7c514f6b4728dd	65	Int521	1	1	0	2	10	00.02:37:49	1
48-55-39-19	371f41a09bce401bb6920f3cb438b37f	100	Int111	1	4	0	2	24	00.04:09:20	0
98-72-19-99	378dfa71c052413cb29aca90f9d43dbc	65	Int312	1	1	1	2	5	00.04:08:50	0
48-85-10-61	383fe719a87f403f84ae777da5a625e6	125	Int421	1	1	2	2	23	00.03:57:30	0
64-93-73-39	3aeeabc877294f59ae12b860c0d53dc2	130	Int622	1	2	2	2	13	00.02:57:50	0
51-32-59-65	3c60ca1cc26f48fab2c41d32096e1229	130	Int632	1	1	1	2	2	00.03:57:39	0
27-17-64-23	3f52c6171f794acab3429cf04635ea82	130	Int113	1	3	1	2	22	00.12:23:43	0
06-55-14-70	420b306656574d13abab4c4422540444	130	Int111	1	1	1	2	11	00.02:55:46	0
81-13-33-37	42a5a6427d1d42c989d541dd3b808a43	130	Int621	1	1	0	2	3	00.02:46:37	0
06-58-03-39	4336385438014861a584f4d1b6dbac3c	130	Int411	1	5	1	2	26	00.08:14:45	1
88-46-76-60	441d65ab66b9478aae994386a8fcbb97	125	Int113	1	4	1	3	15	00.06:15:40	0
53-09-53-50	458a503f5b5a44d18acfcca1da936dc7	130	Int521	1	1	0	3	2	00.01:45:09	1
45-59-44-66	467e48f73f38496f8dff9f11c815c866	120	Int722	1	1	0	1	4	00.02:08:56	1
60-68-20-55	472681e12e954de5a45abcaeeaafe0ee	125	Int211	1	0	1	2	44	00.05:12:49	0
69-41-74-84	4831e03cd1c94838ac738038f97e5cc9	130	Int612	1	4	4	3	8	00.01:58:27	0
71-35-48-97	4aac5b00f412457d91ae380e33d3ea9f	130	Int822	1	2	1	2	4	00.02:21:05	0
20-97-02-23	50e857a354994aed87eab8c2a9206001	130	ms_sup630	1	0	0	0	0	00.00:05:10	0
82-57-41-98	534de7cc97ba4202ab229fceb2a49fd5	100	Int512	1	0	0	2	0	00.01:33:16	1
13-33-60-77	54078b1723f74bda8980a3f0d4fa9b3a	120	Int321	1	2	0	2	7	00.02:53:11	1
09-99-60-09	563f9ffcc820491fb92af9ac23196b75	120	Int421	1	0	0	2	26	00.03:03:05	0
58-60-04-34	5790d184b17d4cfdb73e7cc50eb7dbb4	130	Int632	1	2	1	2	7	00.04:45:37	0
85-50-87-14	585df194f2fd4bd78a3bb86f1af132e7	120	Int221	1	1	1	2	5	00.02:53:50	0
91-40-49-83	589a101c9ee44f00a0e955e37266eb63	130	Int411	1	2	0	2	19	00.08:16:37	0
49-86-49-71	5abdc591cb694eaca8f721fdb7148a2f	130	Int811	1	2	2	2	6	00.02:46:21	0
66-89-03-96	5b59f106fd144e1b967eb9b5bc26d88f	130	Int511	1	2	1	2	4	00.02:47:10	0
78-04-06-68	5d3ee7d0cabc498f820f93a4c2a0cb12	130	Int821	1	2	3	2	21	00.12:58:24	0
06-11-13-03	5d7af1cd44274c9395e3c0eb2418b6a8	130	Int622	1	1	0	2	14	00.02:10:05	0
20-28-10-63	6096222725af42e3bfea77f4f1234d22	65	Int521	1	2	0	4	6	00.04:32:51	0
08-16-17-94	60b4c1171288499d8f1453a265e9972f	100	Int511	1	0	0	2	0	00.02:36:29	0
88-06-15-24	61fcf08e44cd44e0bb86eb594d8ace33	130	Int321	1	3	2	4	7	00.05:34:22	1
54-92-32-91	66cc2cedf0e1483db934860c1bc40c27	130	Int611	1	3	1	2	7	00.02:29:32	0
49-34-70-67	67760222e321446dab7f875d2c3da69c	130	Int412	1	2	1	2	7	00.06:12:59	0
35-44-22-74	6885d1ab7dcc474cbf08283dfa12887f	130	Int722	1	1	0	2	10	00.05:57:30	0
47-48-86-01	6b2f41354d5047cc825f2fe3d028cf6f	100	Int721	1	1	1	2	18	00.04:45:55	0
23-95-75-75	6cc0f237a68b4554a8ff0064fd3becc3	130	ms_sup610	1	0	0	0	0	00.00:59:11	0
34-42-44-42	6efca1b86d904fc3aee883b33b87f3ef	65	Int522	1	2	2	2	10	00.07:50:43	0
87-19-41-64	75f421dd23b245ed8ab6b8b6c4ecb730	120	Int111	1	0	0	2	3	00.02:45:26	1
57-72-24-94	779d9b01a5a2458cb593712273ad609f	130	Int322	1	2	1	2	8	00.06:30:30	0
79-91-74-06	77b724468a684faf8b4bbc9ba851fb84	130	Int421	1	3	1	2	32	00.05:12:47	0
72-16-16-28	78118a0df787489ab715e66c2c6bd343	120	Int821	1	0	0	2	1	00.04:24:42	0
63-96-33-38	783d19a6c80341efadb98940aac26e51	130	Int811	1	2	2	3	13	00.09:06:48	0
74-11-97-81	7b7ef72c93814a2f84cd364c11990ad0	130	Int711	1	1	1	2	2	00.02:42:44	0
35-30-70-26	7d4dcaa283bf450f965a87bdce4b19b0	120	Int321	1	2	0	2	7	00.03:02:59	1
91-31-42-66	7dc644b1455f4ed8922e5230e3e447e2	130	Int421	1	3	0	2	35	00.11:18:53	0
37-01-52-28	83408e3627764b6da873a2b6301d68a7	130	Int611	1	6	1	3	33	00.04:22:05	0
47-43-98-43	841f4a2168c242049dfd8dbd4777f01d	130	Int622	1	3	1	2	10	00.02:54:32	0
93-50-36-92	843caa758a70498696f22d4d9ac4162c	100	Int621	1	1	0	2	3	00.02:35:41	0
34-67-30-54	849e7dd0fba147e5b951948fe2992dc5	130	Int612	1	3	2	2	4	00.02:03:02	0
70-15-11-10	84e04caf10144d31b33da32d3d1fb72f	130	Int412	1	2	1	2	12	00.04:37:28	0
04-54-77-47	85ba865a55d849039a96a3a2e432177b	120	Int812	1	4	2	1	2	00.03:30:07	1
07-02-41-41	87f29727abb14338bcfbd098fa1015d5	130	ms_sup410	1	0	0	0	1	00.00:41:52	0
04-33-50-06	8c1073ac6ea149d6a97458fe3092e621	130	Int112	1	2	2	2	22	00.10:53:10	2
90-63-57-66	8c8871bc4ef448bf8250f8b09a1bc755	100	Int611	1	0	0	2	2	00.03:49:22	2
08-79-98-74	8e2b75a3721744d38c35da6498f3cbf2	100	Int721	1	1	0	2	9	00.04:40:45	0
77-19-91-37	8ee3519bb8044532bed3cac6043ddf53	130	Int521	1	2	1	2	41	00.09:03:54	0
44-25-88-16	9123bd6660804a3cbfbde089828f179b	130	Int412	1	1	1	2	9	00.03:51:13	0
28-79-98-72	919e3aaf7b2a4cc48086da3633878202	130	Int511	1	3	1	2	7	00.03:04:08	0
77-80-73-35	924decce54094b4a8ee0e017ce697405	130	Int721	1	2	1	2	6	00.03:17:34	0
19-04-05-78	92e8888138b24726b93fa523db71bc39	130	Int821	1	1	1	2	4	00.05:14:29	0
30-54-55-25	94273a0e331144c2a9bf4e427a0c863b	130	Int311	1	2	1	2	4	00.02:27:35	0
14-07-87-98	948795d423da41168693d755fb7dfd70	130	Int113	1	3	1	2	15	00.06:42:26	0
47-45-24-82	96cf15e5a48149978d33235ef5c1d185	130	Int113	1	6	1	2	25	00.08:07:44	0
56-02-33-18	972f6505018a49dca3ed4c6879954ae8	100	Int721	1	0	0	2	0	00.06:35:11	2
65-87-27-79	973b9216212945408f19b004af3935a5	130	Int632	1	4	1	2	2	00.04:10:04	0
09-38-90-94	9a26ba9d57f24ce1b86b30dc77477d23	130	ms_sup420	1	0	0	0	0	00.01:57:15	0
92-55-13-88	9acc2955fcc34f08a29fd9fd6abcc722	100	Int111	1	2	0	2	12	00.04:02:04	1
72-81-41-81	9c6e13f9c35f4783b0e6c35c9b548e89	130	Int412	1	2	1	2	2	00.03:51:56	0
56-88-48-65	9e2bf9e8c84c4f5ead6eb7ade4a64b4d	125	Int612	1	2	1	2	11	00.03:23:39	0
49-09-09-24	9fa451cf87024f43a011e2eb7502fc89	100	Int622	1	0	0	2	0	00.02:22:22	2
86-22-62-08	aa67c4da48d6470f8f317ed70e2828ed	65	Int312	1	1	0	2	1	00.05:28:08	0
71-30-93-92	aadfbbbbb8fc4991a2e847e5d1650d37	100	Int113	1	3	1	2	13	00.06:31:36	0
99-82-87-99	aca97749e9ed4e9ab323c9ec81077d9d	130	Int311	1	1	1	2	5	00.02:48:02	0
69-38-29-78	ae362bba2e4f48fab3500295285ff999	130	Int521	1	1	0	2	3	00.04:14:40	0
85-02-58-18	af5eca5d0df54bfc8c151a17a54fe5e5	130	Int611	1	3	1	2	26	00.05:06:23	0
58-65-75-27	afa7d583ff8e4eaf8f408ca8bb071473	100	Int621	1	2	1	2	4	00.02:16:54	0
27-21-35-50	b205fee055a84a73b8b4865397f12a10	130	Int522	1	0	0	3	19	00.04:34:56	0
82-10-91-07	b2ceab36b975406b955047334c9dc7b1	130	Int522	1	0	0	2	1	00.04:07:19	0
65-79-68-50	b946c8696a5047ff90df944db2739496	100	Int622	1	0	0	2	0	00.02:07:49	2
98-28-02-73	ba2a506ea31a4fbdaac468e2bbec46f2	100	Int721	1	2	1	2	11	00.05:37:08	0
48-86-06-59	be7da8d06422439d9585d00b1e55fcb9	65	Int312	1	1	0	2	0	00.03:39:30	2
34-05-69-24	bf81c1b0f5e446be953373780b58fcc5	65	Int312	1	1	1	2	24	00.04:51:17	0
46-10-54-31	c0d48f46f0ce43acbfa05e5040c345b8	130	Int221	1	2	1	2	4	00.01:51:21	0
39-97-44-12	c10a78ba328049efa5f81bb1b3a25e99	130	Int522	1	2	1	2	3	00.06:19:58	0
71-62-87-82	c13b7fc24d6b473fa375c05f55ded42b	120	Int812	1	0	0	1	1	00.08:06:36	2
03-02-24-73	c512a9f8387e406fb0bd84921a77e764	100	Int611	1	1	0	2	3	00.02:58:56	1
71-91-74-26	c5fdb27d61464dddb4254b46d200b84e	130	ms_sup820	1	0	0	0	0	00.00:05:17	0
75-75-30-69	c6817849ff8743c1b95e8d6f11237612	100	Int512	1	1	1	2	14	00.02:06:09	0
03-15-71-90	c76855712c014c7f888c38a784b74661	100	Int511	1	1	1	3	7	00.04:23:43	0
94-79-83-76	ca21ddf2638340fcbcc738c29611cd64	130	ms_sup420	1	0	0	0	0	00.00:23:22	0
86-45-41-03	cbc03d1154b745da9914aea8bc86bab5	100	ms_sup520	1	0	0	0	0	00.00:26:58	1
31-99-35-62	cea0c6a51c294e32899f993d4f14a9ad	130	Int611	1	6	2	2	27	00.07:15:40	0
89-75-20-34	cee720235d5448c6b39d70749944af98	130	Int512	1	2	0	2	1	00.02:51:16	0
13-33-98-00	cf1a0dde337749508b338fb19c629836	130	Int812	1	3	1	2	14	00.03:49:51	0
62-59-91-17	cfd3ad52c8b042f6adcf8b296e8e321e	120	Int321	1	4	1	3	11	00.04:34:56	1
71-00-52-01	d0d144752f5645588a70b34fdff55726	130	Int722	1	5	3	3	14	00.08:06:29	0
34-24-01-64	d0ffa3738cf44da1b3e6828abceaccec	130	Int811	1	1	1	2	7	00.04:09:28	0
87-25-33-71	d1d765e03da94bf18779755d1d82ec10	120	Int311	1	2	0	2	4	00.03:38:06	0
06-25-70-76	d4b9ece1deae464eb4dfc11178a9350d	130	Int512	1	4	2	2	17	00.02:33:54	0
19-51-08-31	d531ff1d20ae45b58c9636bf529bb336	65	Int112	1	3	1	2	19	00.06:52:38	0
95-37-17-73	d66cbe4c34a34ecb9bacf431ea19920a	130	Int521	1	4	2	3	7	00.02:53:22	0
46-36-21-40	db3de5194c6c4e9588c40dee1de3602a	130	ms_sup820	1	0	0	0	0	00.00:41:17	0
84-06-71-70	dc5c46a5fbde42e2b9e30e1c9b8f1764	100	Int412	1	0	0	2	1	00.04:22:59	2
97-22-58-47	dfe3cb93a250414b940b7afc0db6f796	100	Int721	1	2	2	2	9	00.03:07:29	0
