interview__key	interview__id	roster	id1	id2	id3	variable	type	message__number	message
70-23-85-74	6929cffee1754a31b8e85297bab97df0					gps	2	1	GPS has to be within 20m
70-23-85-74	6929cffee1754a31b8e85297bab97df0						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
00-36-36-80	c110aaf4c298480fb842ac7493e87c45					gps	2	1	GPS has to be within 20m
00-36-36-80	c110aaf4c298480fb842ac7493e87c45						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
36-06-67-22	a3ad2eb525a9457cacf5d4bf2aee8470					gps	2	1	GPS has to be within 20m
36-06-67-22	a3ad2eb525a9457cacf5d4bf2aee8470						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
92-69-42-63	c5f81667eb8844f6babad4ab66451f15					gps	2	1	GPS has to be within 20m
92-69-42-63	c5f81667eb8844f6babad4ab66451f15						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
48-55-39-19	371f41a09bce401bb6920f3cb438b37f					gps	2	1	GPS has to be within 20m
48-55-39-19	371f41a09bce401bb6920f3cb438b37f						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
50-00-85-05	f8cce1dbd3f9475b98af629f6cc99aab					gps	2	1	GPS has to be within 20m
50-00-85-05	f8cce1dbd3f9475b98af629f6cc99aab						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
00-00-84-14	a044d23059524a03836ae3ad2bf0318f					gps	2	1	GPS has to be within 20m
14-77-00-48	55280efd75c946b481d081604365fb58					gps	2	1	GPS has to be within 20m
14-77-00-48	55280efd75c946b481d081604365fb58						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
24-05-23-81	efa6570a55184252ab1852220bab61f5					gps	2	1	GPS has to be within 20m
24-05-23-81	efa6570a55184252ab1852220bab61f5						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
96-23-79-11	aa0dc3d390ce43b190c69b59d5384730					gps	2	1	GPS has to be within 20m
96-23-79-11	aa0dc3d390ce43b190c69b59d5384730						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
99-62-55-67	97ac7655eb7d4a2cb04445710b08ddee					gps	2	1	GPS has to be within 20m
99-62-55-67	97ac7655eb7d4a2cb04445710b08ddee						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
46-69-67-80	db4b80a11b314308a0376b76ceac3f67					gps	2	1	GPS has to be within 20m
46-69-67-80	db4b80a11b314308a0376b76ceac3f67						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
75-28-47-44	d09f28f4ed01405fa505bcd128b76d6d					gps	2	1	GPS has to be within 20m
75-28-47-44	d09f28f4ed01405fa505bcd128b76d6d						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
40-09-01-38	7dc9b103c86c4bd0af8602904fc6fa03						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
25-15-76-66	856be865365745e79549caad8f23be7a					gps	2	1	GPS has to be within 20m
25-15-76-66	856be865365745e79549caad8f23be7a						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
91-44-56-45	ca18fdbeeecb43d3b861738f9ab3dfd6					gps	2	1	GPS has to be within 20m
